prompt,model,model_id,diagnosis,inferred_diagnosis,template,split_count,image_path,reference_image_paths,ssim,color_similarity,shape_similarity,performance
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_000.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_000_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_000_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_000_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_000_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_000_4.png']",0.36583600906857217,0.018625744826983016,0.0792137731170801,"{'total_time_seconds': 9.287550210952759, 'seconds_per_image': 4.643775105476379, 'avg_power_watts': 123.8129411764706, 'peak_power_watts': 174.72, 'total_energy_wh': 0.3194219188728364, 'energy_per_image_wh': 0.1597109594364182}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_001.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_001_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_001_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_001_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_001_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_001_4.png']",0.11511475934251339,0.06230195846674601,0.015639144145425117,"{'total_time_seconds': 9.287550210952759, 'seconds_per_image': 4.643775105476379, 'avg_power_watts': 123.8129411764706, 'peak_power_watts': 174.72, 'total_energy_wh': 0.3194219188728364, 'energy_per_image_wh': 0.1597109594364182}"
"Gnenerate a dermoscopic skin lesion of a single melanoma, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,mel,mel,template_1,1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_002.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_002_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_002_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_002_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_002_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_002_4.png']",0.317972818442242,0.13000124733199842,0.016258469390219393,"{'total_time_seconds': 7.202372074127197, 'seconds_per_image': 7.202372074127197, 'avg_power_watts': 93.01692307692306, 'peak_power_watts': 175.21, 'total_energy_wh': 0.1860951358862412, 'energy_per_image_wh': 0.1860951358862412}"
"Gnenerate a dermoscopic skin lesion of a single benign keratosis, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,bkl,bkl,template_1,1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_003.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_003_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_003_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_003_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_003_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_003_4.png']",0.33857310052671075,0.051525867631606784,0.08826943510972016,"{'total_time_seconds': 6.340317726135254, 'seconds_per_image': 6.340317726135254, 'avg_power_watts': 103.8675, 'peak_power_watts': 174.7, 'total_energy_wh': 0.18293137539426488, 'energy_per_image_wh': 0.18293137539426488}"
"Gnenerate a dermoscopic skin lesion of a single basal cell carcinoma, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,bcc,bcc,template_1,2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_004.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_004_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_004_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_004_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_004_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_004_4.png']",0.06733110189996737,0.0,0.022404520498801435,"{'total_time_seconds': 9.588859558105469, 'seconds_per_image': 4.794429779052734, 'avg_power_watts': 122.70777777777779, 'peak_power_watts': 175.09, 'total_energy_wh': 0.3268410132773129, 'energy_per_image_wh': 0.16342050663865645}"
"Gnenerate a dermoscopic skin lesion of a single basal cell carcinoma, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,bcc,bcc,template_1,2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_005.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_005_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_005_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_005_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_005_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_005_4.png']",0.16567005004324467,0.0,0.016224640408928407,"{'total_time_seconds': 9.588859558105469, 'seconds_per_image': 4.794429779052734, 'avg_power_watts': 122.70777777777779, 'peak_power_watts': 175.09, 'total_energy_wh': 0.3268410132773129, 'energy_per_image_wh': 0.16342050663865645}"
"Gnenerate a dermoscopic skin lesion of a single actinic keratosis, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,akiec,akiec,template_1,2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_006.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_006_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_006_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_006_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_006_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_006_4.png']",0.2524674343257738,0.00013567210809370238,0.014240958796246614,"{'total_time_seconds': 9.343341588973999, 'seconds_per_image': 4.6716707944869995, 'avg_power_watts': 123.37294117647059, 'peak_power_watts': 174.77, 'total_energy_wh': 0.32019875895782235, 'energy_per_image_wh': 0.16009937947891117}"
"Gnenerate a dermoscopic skin lesion of a single actinic keratosis, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,akiec,akiec,template_1,2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_007.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_007_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_007_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_007_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_007_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_007_4.png']",0.20758766196018782,0.0,0.017168896168555818,"{'total_time_seconds': 9.343341588973999, 'seconds_per_image': 4.6716707944869995, 'avg_power_watts': 123.37294117647059, 'peak_power_watts': 174.77, 'total_energy_wh': 0.32019875895782235, 'energy_per_image_wh': 0.16009937947891117}"
"Gnenerate a dermoscopic skin lesion of a single vascular lesion, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,vasc,vasc,template_1,2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_008.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_008_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_008_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_008_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_008_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_008_4.png']",0.45778536967716643,0.0,0.01745907557400326,"{'total_time_seconds': 9.332268953323364, 'seconds_per_image': 4.666134476661682, 'avg_power_watts': 123.79117647058823, 'peak_power_watts': 174.97, 'total_energy_wh': 0.3209034869088456, 'energy_per_image_wh': 0.1604517434544228}"
"Gnenerate a dermoscopic skin lesion of a single vascular lesion, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,vasc,vasc,template_1,2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_3_random_10_20251218_185136\images\image_009.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_009_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_009_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_009_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_009_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_3_random_10_20251218_185136\\images\\ref_009_4.png']",0.2563937996157498,0.0,0.01872226671882603,"{'total_time_seconds': 9.332268953323364, 'seconds_per_image': 4.666134476661682, 'avg_power_watts': 123.79117647058823, 'peak_power_watts': 174.97, 'total_energy_wh': 0.3209034869088456, 'energy_per_image_wh': 0.1604517434544228}"
