prompt,model,model_id,diagnosis,inferred_diagnosis,pair_context,template,image_path,reference_image_paths,ssim,color_similarity,shape_similarity,performance
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,nv,nv,nv then mel,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_000.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_000_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_000_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_000_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_000_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_000_4.png']",0.2992828664732665,0.07568040288855309,0.034296593564148,"{'total_time_seconds': 903.7101686000824, 'seconds_per_image': 451.8550843000412, 'avg_power_watts': 58.8650591163659, 'peak_power_watts': 66.13, 'total_energy_wh': 14.776931249640235, 'energy_per_image_wh': 7.3884656248201175}"
"Gnenerate a dermoscopic skin lesion of a single melanoma, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,mel,mel,nv then mel,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_001.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_001_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_001_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_001_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_001_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_001_4.png']",0.28344124856467673,0.0,0.05936154919247612,"{'total_time_seconds': 903.7101686000824, 'seconds_per_image': 451.8550843000412, 'avg_power_watts': 58.8650591163659, 'peak_power_watts': 66.13, 'total_energy_wh': 14.776931249640235, 'energy_per_image_wh': 7.3884656248201175}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,nv,nv,nv then bkl,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_002.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_002_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_002_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_002_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_002_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_002_4.png']",0.25427299139053255,0.0,0.08415813184361318,"{'total_time_seconds': 1129.869626045227, 'seconds_per_image': 564.9348130226135, 'avg_power_watts': 60.38587301587302, 'peak_power_watts': 67.24, 'total_energy_wh': 18.95226771190528, 'energy_per_image_wh': 9.47613385595264}"
"Gnenerate a dermoscopic skin lesion of a single benign keratosis, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,bkl,bkl,nv then bkl,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_003.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_003_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_003_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_003_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_003_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_003_4.png']",0.5584474986619096,0.014197321936510738,0.009640887444814275,"{'total_time_seconds': 1129.869626045227, 'seconds_per_image': 564.9348130226135, 'avg_power_watts': 60.38587301587302, 'peak_power_watts': 67.24, 'total_energy_wh': 18.95226771190528, 'energy_per_image_wh': 9.47613385595264}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,nv,nv,nv then bcc,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_004.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_004_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_004_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_004_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_004_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_004_4.png']",0.4409705958440037,0.021425588199582964,0.01512575291872508,"{'total_time_seconds': 1144.4073309898376, 'seconds_per_image': 572.2036654949188, 'avg_power_watts': 59.990752145381116, 'peak_power_watts': 63.41, 'total_energy_wh': 19.07051570743569, 'energy_per_image_wh': 9.535257853717845}"
"Gnenerate a dermoscopic skin lesion of a single basal cell carcinoma, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,bcc,bcc,nv then bcc,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_005.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_005_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_005_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_005_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_005_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_005_4.png']",0.5069368737949228,0.0,0.020104681043679486,"{'total_time_seconds': 1144.4073309898376, 'seconds_per_image': 572.2036654949188, 'avg_power_watts': 59.990752145381116, 'peak_power_watts': 63.41, 'total_energy_wh': 19.07051570743569, 'energy_per_image_wh': 9.535257853717845}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,nv,nv,nv then akiec,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_006.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_006_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_006_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_006_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_006_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_006_4.png']",0.4243476121182085,0.0,0.017301597090955412,"{'total_time_seconds': 1049.0767395496368, 'seconds_per_image': 524.5383697748184, 'avg_power_watts': 60.28251510159254, 'peak_power_watts': 62.98, 'total_energy_wh': 17.56694010961957, 'energy_per_image_wh': 8.783470054809785}"
"Gnenerate a dermoscopic skin lesion of a single actinic keratosis, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,akiec,akiec,nv then akiec,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_007.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_007_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_007_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_007_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_007_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_007_4.png']",0.3863714756538263,0.1133995714300687,0.037512592918934676,"{'total_time_seconds': 1049.0767395496368, 'seconds_per_image': 524.5383697748184, 'avg_power_watts': 60.28251510159254, 'peak_power_watts': 62.98, 'total_energy_wh': 17.56694010961957, 'energy_per_image_wh': 8.783470054809785}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,nv,nv,nv then vasc,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_008.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_008_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_008_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_008_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_008_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_008_4.png']",0.3739112241352727,0.057322921264885404,0.015617710556347576,"{'total_time_seconds': 1120.3892138004303, 'seconds_per_image': 560.1946069002151, 'avg_power_watts': 59.57206577595067, 'peak_power_watts': 66.1, 'total_energy_wh': 18.539972205329136, 'energy_per_image_wh': 9.269986102664568}"
"Gnenerate a dermoscopic skin lesion of a single vascular lesion, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,vasc,vasc,nv then vasc,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_2_20251220_042000\images\image_009.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_009_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_009_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_009_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_009_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_2_20251220_042000\\images\\ref_009_4.png']",0.4129456175804746,0.02063607806433166,0.01219312207759325,"{'total_time_seconds': 1120.3892138004303, 'seconds_per_image': 560.1946069002151, 'avg_power_watts': 59.57206577595067, 'peak_power_watts': 66.1, 'total_energy_wh': 18.539972205329136, 'energy_per_image_wh': 9.269986102664568}"
