prompt,model,model_id,diagnosis,inferred_diagnosis,template,image_path,reference_image_paths,ssim,color_similarity,shape_similarity,performance
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,nv,nv,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_000.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_000_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_000_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_000_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_000_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_000_4.png']",0.5202568605056654,0.0,0.02456948969952446,"{'total_time_seconds': 443.91141533851624, 'seconds_per_image': 443.91141533851624, 'avg_power_watts': 55.472638190954775, 'peak_power_watts': 59.03, 'total_energy_wh': 6.84026036997449, 'energy_per_image_wh': 6.84026036997449}"
"Gnenerate a dermoscopic skin lesion of a single melanoma, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,mel,mel,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_001.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_001_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_001_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_001_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_001_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_001_4.png']",0.23170105113664735,0.018752965845148704,0.01703180369633377,"{'total_time_seconds': 566.3846929073334, 'seconds_per_image': 566.3846929073334, 'avg_power_watts': 55.62090373280943, 'peak_power_watts': 63.12, 'total_energy_wh': 8.750785688871007, 'energy_per_image_wh': 8.750785688871007}"
"Gnenerate a dermoscopic skin lesion of a single benign keratosis, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,bkl,bkl,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_002.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_002_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_002_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_002_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_002_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_002_4.png']",0.46799792165657406,0.0,0.037928315076809146,"{'total_time_seconds': 568.2091875076294, 'seconds_per_image': 568.2091875076294, 'avg_power_watts': 56.71267198404785, 'peak_power_watts': 60.55, 'total_energy_wh': 8.951294797067368, 'energy_per_image_wh': 8.951294797067368}"
"Gnenerate a dermoscopic skin lesion of a single basal cell carcinoma, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,bcc,bcc,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_003.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_003_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_003_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_003_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_003_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_003_4.png']",0.4586141757952726,0.0007772986027350952,0.04064214635826025,"{'total_time_seconds': 550.5896310806274, 'seconds_per_image': 550.5896310806274, 'avg_power_watts': 57.248578680203046, 'peak_power_watts': 60.49, 'total_energy_wh': 8.755687170950909, 'energy_per_image_wh': 8.755687170950909}"
"Gnenerate a dermoscopic skin lesion of a single actinic keratosis, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,akiec,akiec,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_004.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_004_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_004_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_004_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_004_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_004_4.png']",0.3424607377878172,0.01373390825405299,0.015811065089847153,"{'total_time_seconds': 600.144553899765, 'seconds_per_image': 600.144553899765, 'avg_power_watts': 57.8848590225564, 'peak_power_watts': 60.65, 'total_energy_wh': 9.649800804345249, 'energy_per_image_wh': 9.649800804345249}"
"Gnenerate a dermoscopic skin lesion of a single vascular lesion, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,vasc,vasc,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_005.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_005_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_005_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_005_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_005_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_005_4.png']",0.48539495138474786,0.0,0.008168334490042407,"{'total_time_seconds': 598.8903868198395, 'seconds_per_image': 598.8903868198395, 'avg_power_watts': 56.711958955223885, 'peak_power_watts': 62.2, 'total_energy_wh': 9.434513065556914, 'energy_per_image_wh': 9.434513065556914}"
"Gnenerate a dermoscopic skin lesion of a single dermatofibroma, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd3.5,stabilityai/stable-diffusion-3.5-large,df,df,template_1,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_006.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_006_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_006_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_006_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_006_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_006_4.png']",0.3454617139286803,0.025998918873054628,0.013785467374533547,"{'total_time_seconds': 591.8690493106842, 'seconds_per_image': 591.8690493106842, 'avg_power_watts': 58.16017159199238, 'peak_power_watts': 60.63, 'total_energy_wh': 9.562001518860775, 'energy_per_image_wh': 9.562001518860775}"
"ultra photorealistic ISIC-style dermoscopic close-up photograph of a single melanocytic nevus skin lesion on real human skin, taken with a contact polarized dermatoscope using immersion fluid, lesion occupying about one third of the frame on a light pink skin background, full lesion visible and slightly off-center, fine body hairs crossing the lesion and surrounding skin, subtle surface reflections from the dermatoscope contact plate, even soft clinical lighting with no harsh shadows, razor-sharp focus over the entire lesion, natural skin texture and pores clearly visible, realistic color range from light pink to dark brown and black, irregular pigment network and internal structures clearly defined, unedited hospital dermatology research image, no artistic style, no filters, clear skin, no hairs",sd3.5,stabilityai/stable-diffusion-3.5-large,nv,nv,template_2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_007.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_007_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_007_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_007_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_007_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_007_4.png']",0.4753244406935958,0.04118947961496589,0.014438496398941838,"{'total_time_seconds': 608.0414853096008, 'seconds_per_image': 608.0414853096008, 'avg_power_watts': 57.18997250229147, 'peak_power_watts': 59.92, 'total_energy_wh': 9.659409951419036, 'energy_per_image_wh': 9.659409951419036}"
"ultra photorealistic ISIC-style dermoscopic close-up photograph of a single melanoma skin lesion on real human skin, taken with a contact polarized dermatoscope using immersion fluid, lesion occupying about one third of the frame on a light pink skin background, full lesion visible and slightly off-center, fine body hairs crossing the lesion and surrounding skin, subtle surface reflections from the dermatoscope contact plate, even soft clinical lighting with no harsh shadows, razor-sharp focus over the entire lesion, natural skin texture and pores clearly visible, realistic color range from light pink to dark brown and black, irregular pigment network and internal structures clearly defined, unedited hospital dermatology research image, no artistic style, no filters, clear skin, no hairs",sd3.5,stabilityai/stable-diffusion-3.5-large,mel,mel,template_2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_008.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_008_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_008_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_008_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_008_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_008_4.png']",0.5617709743673094,0.0,0.010722099887758702,"{'total_time_seconds': 455.97531604766846, 'seconds_per_image': 455.97531604766846, 'avg_power_watts': 58.252373300370834, 'peak_power_watts': 65.02, 'total_energy_wh': 7.378234535045376, 'energy_per_image_wh': 7.378234535045376}"
"ultra photorealistic ISIC-style dermoscopic close-up photograph of a single benign keratosis skin lesion on real human skin, taken with a contact polarized dermatoscope using immersion fluid, lesion occupying about one third of the frame on a light pink skin background, full lesion visible and slightly off-center, fine body hairs crossing the lesion and surrounding skin, subtle surface reflections from the dermatoscope contact plate, even soft clinical lighting with no harsh shadows, razor-sharp focus over the entire lesion, natural skin texture and pores clearly visible, realistic color range from light pink to dark brown and black, irregular pigment network and internal structures clearly defined, unedited hospital dermatology research image, no artistic style, no filters, clear skin, no hairs",sd3.5,stabilityai/stable-diffusion-3.5-large,bkl,bkl,template_2,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_1_20251222_220532\images\image_009.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_009_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_009_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_009_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_009_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_1_20251222_220532\\images\\ref_009_4.png']",0.3292544622044214,0.0,0.017107149363362384,"{'total_time_seconds': 611.4639039039612, 'seconds_per_image': 611.4639039039612, 'avg_power_watts': 57.187315741583255, 'peak_power_watts': 59.69, 'total_energy_wh': 9.713327593649153, 'energy_per_image_wh': 9.713327593649153}"
